"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","W4Efsd 8","W4Efsd 9","FQ2IWe src","ah5Ghc","W6VQef","M4A5Cf","ah5Ghc 2","fontBodyMedium","EgL07d src","R8c4Qb"
"https://www.google.com/maps/place/Cake+Hub+Manufacturing+Unit/data=!4m7!3m6!1s0x3bd1d79d9221ebc9:0x8c1b565a49aef69b!8m2!3d19.1620111!4d77.2987527!16s%2Fg%2F11pt_z9r6k!19sChIJyeshkp3X0TsRm_auSVpWG4w?authuser=0&hl=en&rclk=1","Cake Hub Manufacturing Unit","5.0","(2)","·","Bakery and Cake Shop","·","576X+RG2","","","","","","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png","","","","","","",""
"https://www.google.com/maps/place/Amrut+Pan+Parlour/data=!4m7!3m6!1s0x3bd1d7da0aea7983:0x7213d009ffae5738!8m2!3d19.1708988!4d77.321334!16s%2Fg%2F11p779spm2!19sChIJg3nqCtrX0TsROFeu_wnQE3I?authuser=0&hl=en&rclk=1","Amrut Pan Parlour","","","·","Bakery and Cake Shop","·","06","","","","","","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png","","","","","No reviews","",""
"https://www.google.com/maps/place/HKGN+Maharashtrawala+Bakery+And+Sweets/data=!4m7!3m6!1s0x3bd1d73ae57cd989:0xfb81ee05370c8886!8m2!3d19.1542398!4d77.2968338!16s%2Fg%2F11rj3v74dh!19sChIJidl85TrX0TsRhogMNwXugfs?authuser=0&hl=en&rclk=1","HKGN Maharashtrawala Bakery And Sweets","","","·","Bakery and Cake Shop","·","Shop No, 01, Waghi Rd","","","","","","https://lh5.googleusercontent.com/p/AF1QipOpWYrKqdbdHzFTflagbaKB7blXHJgX-gfvXtGJ=w80-h177-k-no","Takeaway","·","","","No reviews","",""
"https://www.google.com/maps/place/TATA+BAKERS+(IBRAHIM+TATA)/data=!4m7!3m6!1s0x3bd1d633869d6d29:0xa79b1ddee38ff83!8m2!3d19.1442959!4d77.329085!16s%2Fg%2F11c2r4qm57!19sChIJKW2dhjPW0TsRg_847t2xeQo?authuser=0&hl=en&rclk=1","TATA BAKERS (IBRAHIM TATA)","3.8","(12)","·","Bakery and Cake Shop","·","48VH+PJ8, Ganipura Rd","·","Closed","⋅ Opens 12AM Sat","","","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png","In-store shopping","·","","","","",""
"https://www.google.com/maps/place/Delhi+Sweets+%26+Bakery/data=!4m7!3m6!1s0x3bd1d64ab72f5cc3:0xf127bbbe84398297!8m2!3d19.1516867!4d77.3315228!16s%2Fg%2F11c0xn93d_!19sChIJw1wvt0rW0TsRl4I5hL67J_E?authuser=0&hl=en&rclk=1","Delhi Sweets & Bakery","3.6","(21)","·","Sweet shop","·","582J+MJC, Deglour Naka, Main Road","·","Open","⋅ Closes 11:30PM","","","https://lh5.googleusercontent.com/Z3lrvgJ_UouYCT3nEUVh-2u1-8AplFhrQ38u5BRKnf2K0HmV67u4SWEuXlV6Fcf7=w163-h92-k-no","In-store shopping","·","·","In-store pick-up","","",""
"https://www.google.com/maps/place/Varad+Bakery/data=!4m7!3m6!1s0x3bd1d6ed48e1025b:0xa4694a20e1f41f80!8m2!3d19.1853862!4d77.3100157!16s%2Fg%2F11c1p7xcyl!19sChIJWwLhSO3W0TsRgB_04SBKaaQ?authuser=0&hl=en&rclk=1","Varad Bakery","3.3","(15)","·","Bakery and Cake Shop","·","58P6+522, Near Sai Baba Mandir","·","Open","⋅ Closes 11PM","","","https://lh3.googleusercontent.com/IlJ3tLtnVLXRzNproVT_vJ9Y8P0TCO9elLv-rLT0cqKNFzcWB2dtQYaDrLAaTlWE=w163-h92-k-no","Delivery","·","","","","",""
"https://www.google.com/maps/place/Moiz+Citizen+Bakery/data=!4m7!3m6!1s0x3bd1d79564f1cca1:0x20fed1c5b836b6d9!8m2!3d19.1523244!4d77.3323979!16s%2Fg%2F11h5r0_x57!19sChIJoczxZJXX0TsR2bY2uMXR_iA?authuser=0&hl=en&rclk=1","Moiz Citizen Bakery","4.0","(2)","·","Bakery and Cake Shop","","","","","","","","https://lh5.googleusercontent.com/uBiG494MUkEqK_371-vkouwQKTyFH8eoELiqPiTZFjMTUV70xlpdWRalaOSQGo1I=w163-h92-k-no","Takeaway","·","","","","",""
"https://www.google.com/maps/place/The+Sweet+Pot/data=!4m7!3m6!1s0x3bd1d7650e44823f:0x1cc181ad9928df2b!8m2!3d19.1565992!4d77.3084438!16s%2Fg%2F11q4809jjx!19sChIJP4JEDmXX0TsRK98oma2BwRw?authuser=0&hl=en&rclk=1","The Sweet Pot","","","·","Cake shop","·","Shop No, 1, Vazirabad Rd, opp. Ayurvedic College","","","","","","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png","In-store shopping","·","·","Delivery","No reviews","",""
"https://www.google.com/maps/place/Choice+Confectionary/data=!4m7!3m6!1s0x3bd1d7d27f27d04b:0x34404b2c33ccd7e9!8m2!3d19.1549526!4d77.3326953!16s%2Fg%2F11rlyh0pq7!19sChIJS9Anf9LX0TsR6dfMMyxLQDQ?authuser=0&hl=en&rclk=1","Choice Confectionary","","","·","Cake shop","·","Shop No 1","","","","","","https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png","Takeaway","·","","","No reviews","",""
"https://www.google.com/maps/place/Cake+Box/data=!4m7!3m6!1s0x3bd1d78200982daf:0x11ed0a643725dc46!8m2!3d19.1329418!4d77.3222394!16s%2Fg%2F11p3hnqby0!19sChIJry2YAILX0TsRRtwlN2QK7RE?authuser=0&hl=en&rclk=1","Cake Box","4.5","(8)","·","Bakery and Cake Shop","·","Laxmi Nagar, Vasarni Rd","·","Open","⋅ Closes 11PM","","","https://lh5.googleusercontent.com/p/AF1QipOkfj1vsCSRozEZcQUCKlrIK-QCE1pDbaR23epi=w92-h92-k-no","In-store shopping","·","·","Delivery","","",""
